key,registrationDate,passengerEmail,description,type,isAccepted,key:agents,key:flightLeg
claim-01,2000/01/01 00:00,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet,OTHER_ISSUES,false,assistanceAgent-01,leg-10
claim-02,2022/07/30 00:00,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet,OTHER_ISSUES,false,assistanceAgent-02,leg-02
claim-03,2000/01/01 00:01,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet,SECURITY_INCIDENT,true,assistanceAgent-02,leg-02
claim-04,2022/07/29 23:59,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet,SECURITY_INCIDENT,false,assistanceAgent-01,leg-10
claim-05,2016/10/06 17:01,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet,OTHER_ISSUES,true,assistanceAgent-03,leg-01
claim-06,2016/10/06 17:01,"a@b.e",Lorem ipsum dolor sit amet,FLIGHT_ISSUES,false,assistanceAgent-03,leg-03
claim-07,2016/10/06 17:01,"a@b.es",Lorem ipsum dolor sit amet,SECURITY_INCIDENT,true,assistanceAgent-02,leg-02
claim-08,2016/10/06 17:01,"a@b.esx",Lorem ipsum dolor sit amet,OTHER_ISSUES,true,assistanceAgent-01,leg-21
claim-09,2016/10/06 17:01,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu",Lorem ipsum dolor sit amet,OTHER_ISSUES,true,assistanceAgent-01,leg-22
claim-10,2016/10/06 17:01,"lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org",Lorem ipsum dolor sit amet,SECURITY_INCIDENT,true,assistanceAgent-01,leg-04
claim-11,2016/10/06 17:01,"acme@lorem-ipsum.org",L,LUGGAGE_ISSUES,true,assistanceAgent-02,leg-12
claim-12,2016/10/06 17:01,"acme@lorem-ipsum.org",Lorem ipsum dolor sit amet consectetur adipiscinga,FLIGHT_ISSUES,false,assistanceAgent-02,leg-06
